Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2024 01:00,10484.137154,1375.738368,6210.082088,1250.403165,11799.512618,2929.799758,6020.385247,1153.421779,41223.480177
01/01/2024 02:00,10365.816869,1455.235587,6223.669226,1272.979716,12094.701362,2916.987913,5987.545519,1162.463555,41479.399746
01/01/2024 03:00,10206.968091,1396.973111,6270.219255,1290.712338,12414.58872,2835.801915,5874.877381,1182.629316,41472.770126
01/01/2024 04:00,10086.531805,1423.999194,6263.889506,1311.941858,12609.781073,2783.93253,5789.148918,1208.215907,41477.440791
01/01/2024 05:00,10097.438645,1507.46534,6281.784102,1335.537947,13158.83137,2741.224809,5816.637897,1245.272845,42184.192955
01/01/2024 06:00,10194.600576,1566.413884,6258.394143,1374.106707,13723.711221,2780.691228,5966.534978,1285.049889,43149.502626
01/01/2024 07:00,10344.874447,1667.516065,6303.012021,1400.576511,14362.663455,2836.457975,6226.80201,1325.743997,44467.646479
01/01/2024 08:00,10379.993893,1749.101552,6303.05412,1433.680666,14830.995032,2696.052863,6560.613016,1357.327488,45310.81863
01/01/2024 09:00,10409.818631,1797.37299,6350.636185,1465.270595,14972.913003,2836.558385,6841.516607,1362.130659,46036.217054
01/01/2024 10:00,10615.383403,1772.395379,6360.002929,1462.397622,14926.376326,2983.166528,7023.594233,1352.328957,46495.645376
01/01/2024 11:00,10851.983861,1770.507764,6341.299877,1442.752766,14751.146896,3059.992184,7093.279291,1347.963177,46658.925817
01/01/2024 12:00,11037.476991,1694.773048,6350.658705,1399.544663,14260.124857,3171.873737,7055.102409,1309.685868,46279.240279
01/01/2024 13:00,11153.521771,1636.842634,6327.247062,1347.187851,13742.679093,3238.477117,6961.173629,1264.178259,45671.307416
01/01/2024 14:00,11138.282527,1529.205472,6267.25751,1279.19073,13104.778524,3316.859737,6750.05247,1204.126421,44589.753392
01/01/2024 15:00,11132.887854,1479.200363,6261.953378,1232.176886,12646.420954,3354.642895,6659.786025,1151.92523,43918.993587
01/01/2024 16:00,11219.910376,1481.101067,6268.556839,1214.708959,12541.383575,3277.591964,6643.241451,1135.614376,43782.108608
01/01/2024 17:00,11357.365773,1532.371067,6232.43931,1228.879934,12803.292848,3258.768636,6809.851673,1140.502665,44363.471906
01/01/2024 18:00,11843.417815,1676.051969,6243.655752,1283.67681,13919.725282,3363.082291,7279.156948,1178.527363,46787.294229
01/01/2024 19:00,12095.186422,1792.690875,6299.335517,1357.881681,14838.95518,3481.696056,7757.676466,1264.514225,48887.936422
01/01/2024 20:00,12046.068724,1820.546341,6261.650958,1389.97357,15087.363175,3420.726774,7810.923912,1284.937353,49122.190807
01/01/2024 21:00,11982.718235,1840.71981,6235.035025,1414.707099,15237.66275,3389.35382,7842.899297,1312.216621,49255.312657
01/01/2024 22:00,11839.3521,1858.98248,6259.75693,1404.552401,15153.726883,3316.580065,7758.789123,1335.537956,48927.277938
01/01/2024 23:00,11528.263382,1824.539043,6240.393608,1388.596551,14802.316224,3204.412092,7560.563605,1321.134368,47870.218872
01/01/2024 24:00,11167.110076,1795.950003,6185.097165,1330.991364,14421.846408,3108.148082,7285.437758,1300.069094,46594.64995
01/02/2024 01:00,10942.112971,1785.567025,6196.626076,1323.677085,14188.062406,2941.018082,7058.149121,1329.842468,45765.055235
01/02/2024 02:00,10812.566184,1798.176485,6217.11982,1313.238258,14132.31953,2870.031994,6891.751341,1322.640072,45357.843684
01/02/2024 03:00,10760.421199,1840.918102,6209.978338,1294.32845,14258.444718,2816.562307,6828.460307,1332.849899,45341.963319
01/02/2024 04:00,10866.231602,1870.760842,6138.48145,1288.469943,14438.930593,2795.963936,6834.447549,1338.952717,45572.238632
01/02/2024 05:00,11170.620638,1900.63221,6149.670229,1311.707352,14882.01996,2804.339976,6977.682905,1361.613313,46558.286583
01/02/2024 06:00,11743.526296,2054.217312,6240.953038,1364.419033,15769.705363,2935.17367,7350.217744,1402.802065,48861.014521
01/02/2024 07:00,12498.121481,2162.586074,6349.586327,1444.522668,16793.636345,3078.029391,7865.648756,1472.874883,51665.005926
01/02/2024 08:00,12940.494001,2288.027313,6440.75131,1497.042641,17377.103393,3122.736838,8253.258369,1531.118793,53450.532659
01/02/2024 09:00,13198.529429,2261.652631,6307.749942,1485.500163,17359.147433,3188.088065,8467.072291,1532.965616,53800.705569
01/02/2024 10:00,13390.773108,2184.690195,6547.152865,1551.763966,17091.18977,3272.256255,8527.049525,1543.942763,54108.818446
01/02/2024 11:00,13452.064469,2052.037083,6497.364684,1519.122358,16333.291471,3350.850907,8531.661135,1528.573876,53264.965984
01/02/2024 12:00,13448.305683,1914.868319,6511.608859,1460.567672,15376.62525,3388.379735,8481.838341,1512.775096,52094.968955
01/02/2024 13:00,13315.754859,1797.74098,6543.949177,1416.662916,14761.583564,3427.951189,8509.964395,1510.925995,51284.533076
01/02/2024 14:00,13252.83431,1680.686126,6577.970889,1390.960546,14969.985311,3449.896447,8525.792843,1501.600705,51349.727177
