Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/01/2024,08:00,N,HB_HOUSTON,28.41
01/01/2024,08:00,N,HB_HUBAVG,29.87
01/01/2024,08:00,N,HB_NORTH,28.7
01/01/2024,08:00,N,HB_PAN,29.99
01/01/2024,08:00,N,HB_SOUTH,28.09
01/01/2024,08:00,N,HB_WEST,34.28
01/01/2024,08:00,N,LZ_AEN,28.3
01/01/2024,08:00,N,LZ_CPS,28.36
01/01/2024,08:00,N,LZ_HOUSTON,28.39
01/01/2024,08:00,N,LZ_LCRA,28.48
01/01/2024,08:00,N,LZ_NORTH,29.0
01/01/2024,08:00,N,LZ_RAYBN,28.59
01/01/2024,08:00,N,LZ_SOUTH,28.45
01/01/2024,08:00,N,LZ_WEST,45.68
01/01/2024,09:00,N,HB_BUSAVG,22.92
01/01/2024,09:00,N,HB_HOUSTON,22.68
01/01/2024,09:00,N,HB_HUBAVG,23.1
01/01/2024,09:00,N,HB_NORTH,22.83
01/01/2024,09:00,N,HB_PAN,23.6
01/01/2024,09:00,N,HB_SOUTH,22.47
01/01/2024,09:00,N,HB_WEST,24.43
01/01/2024,09:00,N,LZ_AEN,22.64
01/01/2024,09:00,N,LZ_CPS,22.64
01/01/2024,09:00,N,LZ_HOUSTON,22.67
01/01/2024,09:00,N,LZ_LCRA,22.66
01/01/2024,09:00,N,LZ_NORTH,23.33
01/01/2024,09:00,N,LZ_RAYBN,22.54
01/01/2024,09:00,N,LZ_SOUTH,22.51
01/01/2024,09:00,N,LZ_WEST,28.13
01/01/2024,10:00,N,HB_BUSAVG,19.51
01/01/2024,10:00,N,HB_HOUSTON,19.54
01/01/2024,10:00,N,HB_HUBAVG,19.52
01/01/2024,10:00,N,HB_NORTH,19.54
01/01/2024,10:00,N,HB_PAN,19.65
01/01/2024,10:00,N,HB_SOUTH,19.36
01/01/2024,10:00,N,HB_WEST,19.66
01/01/2024,10:00,N,LZ_AEN,19.56
01/01/2024,10:00,N,LZ_CPS,19.57
01/01/2024,10:00,N,LZ_HOUSTON,19.54
01/01/2024,10:00,N,LZ_LCRA,19.57
01/01/2024,10:00,N,LZ_NORTH,19.76
01/01/2024,10:00,N,LZ_RAYBN,19.37
01/01/2024,10:00,N,LZ_SOUTH,19.2
01/01/2024,10:00,N,LZ_WEST,19.75
01/01/2024,11:00,N,HB_BUSAVG,18.44
01/01/2024,11:00,N,HB_HOUSTON,18.49
01/01/2024,11:00,N,HB_HUBAVG,18.43
01/01/2024,11:00,N,HB_NORTH,18.49
01/01/2024,11:00,N,HB_PAN,18.48
01/01/2024,11:00,N,HB_SOUTH,18.25
01/01/2024,11:00,N,HB_WEST,18.49
01/01/2024,11:00,N,LZ_AEN,18.49
01/01/2024,11:00,N,LZ_CPS,18.49
01/01/2024,11:00,N,LZ_HOUSTON,18.49
01/01/2024,11:00,N,LZ_LCRA,18.49
01/01/2024,11:00,N,LZ_NORTH,18.49
01/01/2024,11:00,N,LZ_RAYBN,18.49
01/01/2024,11:00,N,LZ_SOUTH,18.06
01/01/2024,11:00,N,LZ_WEST,18.62
01/01/2024,12:00,N,HB_BUSAVG,17.85
01/01/2024,12:00,N,HB_HOUSTON,17.9
01/01/2024,12:00,N,HB_HUBAVG,17.84
01/01/2024,12:00,N,HB_NORTH,17.9
01/01/2024,12:00,N,HB_PAN,17.9
01/01/2024,12:00,N,HB_SOUTH,17.66
01/01/2024,12:00,N,HB_WEST,17.91
01/01/2024,12:00,N,LZ_AEN,17.9
01/01/2024,12:00,N,LZ_CPS,17.9
01/01/2024,12:00,N,LZ_HOUSTON,17.9
01/01/2024,12:00,N,LZ_LCRA,17.9
01/01/2024,12:00,N,LZ_NORTH,17.9
01/01/2024,12:00,N,LZ_RAYBN,17.9
01/01/2024,12:00,N,LZ_SOUTH,17.43
01/01/2024,12:00,N,LZ_WEST,17.97
01/01/2024,13:00,N,HB_BUSAVG,16.55
01/01/2024,13:00,N,HB_HOUSTON,16.55
01/01/2024,13:00,N,HB_HUBAVG,16.55
01/01/2024,13:00,N,HB_NORTH,16.55
01/01/2024,13:00,N,HB_PAN,16.54
01/01/2024,13:00,N,HB_SOUTH,16.55
01/01/2024,13:00,N,HB_WEST,16.56
01/01/2024,13:00,N,LZ_AEN,16.55
01/01/2024,13:00,N,LZ_CPS,16.55
01/01/2024,13:00,N,LZ_HOUSTON,16.55
01/01/2024,13:00,N,LZ_LCRA,16.55
01/01/2024,13:00,N,LZ_NORTH,16.55
01/01/2024,13:00,N,LZ_RAYBN,16.55
01/01/2024,13:00,N,LZ_SOUTH,16.55
01/01/2024,13:00,N,LZ_WEST,16.62
01/01/2024,14:00,N,HB_BUSAVG,14.45
01/01/2024,14:00,N,HB_HOUSTON,14.46
01/01/2024,14:00,N,HB_HUBAVG,14.44
01/01/2024,14:00,N,HB_NORTH,14.46
01/01/2024,14:00,N,HB_PAN,14.45
01/01/2024,14:00,N,HB_SOUTH,14.39
01/01/2024,14:00,N,HB_WEST,14.46
01/01/2024,14:00,N,LZ_AEN,14.46
01/01/2024,14:00,N,LZ_CPS,14.46
01/01/2024,14:00,N,LZ_HOUSTON,14.46
01/01/2024,14:00,N,LZ_LCRA,14.46
01/01/2024,14:00,N,LZ_NORTH,14.46
01/01/2024,14:00,N,LZ_RAYBN,14.46
01/01/2024,14:00,N,LZ_SOUTH,14.31
01/01/2024,14:00,N,LZ_WEST,14.52
01/01/2024,15:00,N,HB_BUSAVG,13.85
01/01/2024,15:00,N,HB_HOUSTON,13.86
01/01/2024,15:00,N,HB_HUBAVG,13.85
01/01/2024,15:00,N,HB_NORTH,13.86
01/01/2024,15:00,N,HB_PAN,13.85
01/01/2024,15:00,N,HB_SOUTH,13.83
01/01/2024,15:00,N,HB_WEST,13.86
01/01/2024,15:00,N,LZ_AEN,13.86
01/01/2024,15:00,N,LZ_CPS,13.86
01/01/2024,15:00,N,LZ_HOUSTON,13.86
01/01/2024,15:00,N,LZ_LCRA,13.86
01/01/2024,15:00,N,LZ_NORTH,13.86
01/01/2024,15:00,N,LZ_RAYBN,13.86
01/01/2024,15:00,N,LZ_SOUTH,13.79
01/01/2024,15:00,N,LZ_WEST,13.93
01/01/2024,16:00,N,HB_BUSAVG,13.15
01/01/2024,16:00,N,HB_HOUSTON,13.18
01/01/2024,16:00,N,HB_HUBAVG,13.14
01/01/2024,16:00,N,HB_NORTH,13.18
01/01/2024,16:00,N,HB_PAN,13.18
01/01/2024,16:00,N,HB_SOUTH,13.03
01/01/2024,16:00,N,HB_WEST,13.18
01/01/2024,16:00,N,LZ_AEN,13.18
01/01/2024,16:00,N,LZ_CPS,13.18
01/01/2024,16:00,N,LZ_HOUSTON,13.18
01/01/2024,16:00,N,LZ_LCRA,13.18
01/01/2024,16:00,N,LZ_NORTH,13.18
01/01/2024,16:00,N,LZ_RAYBN,13.18
01/01/2024,16:00,N,LZ_SOUTH,12.83
01/01/2024,16:00,N,LZ_WEST,13.32
01/01/2024,17:00,N,HB_BUSAVG,20.14
01/01/2024,17:00,N,HB_HOUSTON,20.21
01/01/2024,17:00,N,HB_HUBAVG,20.17
01/01/2024,17:00,N,HB_NORTH,20.28
01/01/2024,17:00,N,HB_PAN,20.41
01/01/2024,17:00,N,HB_SOUTH,19.4
01/01/2024,17:00,N,HB_WEST,20.79
01/01/2024,17:00,N,LZ_AEN,20.23
01/01/2024,17:00,N,LZ_CPS,20.29
01/01/2024,17:00,N,LZ_HOUSTON,20.2
01/01/2024,17:00,N,LZ_LCRA,20.25
01/01/2024,17:00,N,LZ_NORTH,20.28
01/01/2024,17:00,N,LZ_RAYBN,20.29
01/01/2024,17:00,N,LZ_SOUTH,18.35
01/01/2024,17:00,N,LZ_WEST,22.11
01/01/2024,18:00,N,HB_BUSAVG,36.92
01/01/2024,18:00,N,HB_HOUSTON,36.45
01/01/2024,18:00,N,HB_HUBAVG,38.51
01/01/2024,18:00,N,HB_NORTH,35.17
01/01/2024,18:00,N,HB_PAN,32.99
01/01/2024,18:00,N,HB_SOUTH,36.37
01/01/2024,18:00,N,HB_WEST,46.07
01/01/2024,18:00,N,LZ_AEN,37.91
01/01/2024,18:00,N,LZ_CPS,39.46
01/01/2024,18:00,N,LZ_HOUSTON,36.47
01/01/2024,18:00,N,LZ_LCRA,38.4
01/01/2024,18:00,N,LZ_NORTH,35.14
01/01/2024,18:00,N,LZ_RAYBN,34.98
01/01/2024,18:00,N,LZ_SOUTH,33.59
01/01/2024,18:00,N,LZ_WEST,61.27
01/01/2024,19:00,N,HB_BUSAVG,28.4
01/01/2024,19:00,N,HB_HOUSTON,27.6
01/01/2024,19:00,N,HB_HUBAVG,29.86
01/01/2024,19:00,N,HB_NORTH,26.95
01/01/2024,19:00,N,HB_PAN,23.85
